trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04
-0.0210403,0.0327283,-0.0524208,-9.20894e-05,-0.000286133,0,0,0,0,0,0,0,0.00044269422,0.0010711416,0.0027479403,8.4804576e-09,8.1872094e-08,0,0,0,0,0,0,0,-0.13946112,0.21152701,-0.041451611,0.41180374,-0.0043310994
-0.0209966,0.0824004,-0.00770171,-0.000603045,-0.000575083,5.29396e-23,4.37e-05,0.0496721,0.04471909,-0.0005109556,-0.00028895,5.29396e-23,0.00044085721,0.0067898259,5.9316337e-05,3.6366327e-07,3.3072046e-07,2.8026012e-45,1.90969e-09,0.0024673175,0.001999797,2.6107563e-07,8.3492103e-08,2.8026012e-45,-0.042238111,0.11431476,-0.026938257,0.067163759,0.025140726
-0.0403074,-0.0314679,-0.0402451,1.97565e-05,-0.000322267,9.29285e-05,-0.0193108,-0.1138683,-0.03254339,0.0006228015,0.000252816,9.29285e-05,0.0016246865,0.00099022873,0.0016196681,3.9031929e-10,1.0385602e-07,8.6357061e-09,0.000372907,0.01296599,0.0010590722,3.8788171e-07,6.391593e-08,8.6357061e-09,0.011481822,0.058147845,0.0055476154,-0.03053155,0.034925106
-0.0367244,0.112409,0.0150498,-0.00052001,-0.000412667,0,0.003583,0.1438769,0.0552949,-0.0005397665,-9.04e-05,-9.29285e-05,0.0013486816,0.012635783,0.00022649648,2.704104e-07,1.7029405e-07,0,1.2837889e-05,0.020700562,0.003057526,2.9134787e-07,8.17216e-09,8.6357061e-09,-0.030347681,0.064098238,-0.039696385,-0.0058086508,0.0044444071
-0.0311098,-0.0025098,-0.0171584,0.000149529,-0.000412667,0,0.0056146,-0.1149188,-0.0322082,0.000669539,0,0,0.00096781966,6.299096e-06,0.00029441069,2.2358922e-08,1.7029405e-07,0,3.1523733e-05,0.013206331,0.0010373681,4.4828247e-07,0,0,0.0015966389,0.010406384,0.0037572727,-0.10637115,0.0065054432
-0.0287674,0.0578188,0.012299,-0.000569022,-0.000275662,0.000171111,0.0023424,0.0603286,0.0294574,-0.000718551,0.000137005,0.000171111,0.0008275633,0.0033430136,0.0001512654,3.2378604e-07,7.5989538e-08,2.9278974e-08,5.4868378e-06,0.00363954,0.00086773841,5.1631554e-07,1.877037e-08,2.9278974e-08,0.012825719,0.033551,-0.045997932,-0.089642713,-0.004194609
-0.0155188,0.0144489,0.0021999,0.00016623,-0.000165406,0,0.0132486,-0.0433699,-0.0100991,0.000735252,0.000110256,-0.000171111,0.00024083315,0.00020877071,4.83956e-06,2.7632413e-08,2.7359145e-08,0,0.0001755254,0.0018809482,0.00010199182,5.405955e-07,1.2156386e-08,2.9278974e-08,0.051398981,0.015513089,0.0072599631,-0.12525844,0.038061708
-0.018099,0.0785942,0.038697,-0.000329141,-6.49324e-05,0,-0.0025802,0.0641453,0.0364971,-0.000495371,0.0001004736,0,0.0003275738,0.0061770483,0.0014974578,1.083338e-07,4.2162166e-09,0,6.657432e-06,0.0041146195,0.0013320383,2.4539243e-07,1.0094944e-08,0,-0.019079004,0.021835241,-0.024357093,-0.042115688,0.015333331
-0.0112071,0.0205898,0.00228489,-0.000190941,-4.7041e-05,0.00042532,0.0068919,-0.0580044,-0.03641211,0.0001382,1.78914e-05,0.00042532,0.00012559909,0.00042393986,5.2207223e-06,3.6458465e-08,2.2128557e-09,1.808971e-07,4.7498286e-05,0.0033645104,0.0013258418,1.909924e-08,3.2010219e-10,1.808971e-07,0.0072814978,-0.0044929352,0.0067956659,-0.10038926,-0.013522098
-0.0112252,0.033145,0.0277857,-4.91403e-05,-0.000352626,0.000247696,-1.81e-05,0.0125552,0.02550081,0.0001418007,-0.000305585,-0.000177624,0.00012600512,0.001098591,0.00077204512,2.4147691e-09,1.243451e-07,6.1353308e-08,3.2761e-10,0.00015763305,0.00065029131,2.0107439e-08,9.3382192e-08,3.1550285e-08,0.0011072184,0.025756305,-0.026992845,-0.064727755,-0.015780036
