trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04
0.0201179,-0.046532,-0.0836037,-0.000967495,0.000497109,0.000168413,0,0,0,0,0,0,0.0004047299,0.002165227,0.0069895787,9.3604658e-07,2.4711736e-07,2.8362939e-08,0,0,0,0,0,0,0.11944104,0.4548051,0.12497499,0.22830053,0.29117058
0.00347262,0.00114178,0.0645598,-0.00130802,0.000592995,0,-0.01664528,0.04767378,0.1481635,-0.000340525,9.5886e-05,-0.000168413,1.205909e-05,1.3036616e-06,0.0041679678,1.7109163e-06,3.5164307e-07,0,0.00027706535,0.0022727893,0.021952423,1.1595728e-07,9.194125e-09,2.8362939e-08,0.18227918,0.15456116,0.016223704,0.049706561,0.044597409
-2.75335e-10,0.0554248,0.12017,-0.00220754,-0,0,-0.0034726203,0.05428302,0.0556102,-0.00089952,-0.000592995,0,7.5809362e-20,0.0030719085,0.014440829,4.8732329e-06,0,0,1.2059092e-05,0.0029466463,0.0030924943,8.0913623e-07,3.5164307e-07,0,0.078438357,-0.034775668,0.11701597,0.0096778452,-0.044027929
0.0174714,0.0395757,0.0817202,-0.00151736,0.000454057,0,0.0174714,-0.0158491,-0.0384498,0.00069018,0.000454057,0,0.00030524982,0.001566236,0.0066781911,2.3023814e-06,2.0616776e-07,0,0.00030524983,0.00025119397,0.0014783871,4.7634843e-07,2.0616776e-07,0,-0.011552161,-0.093578971,0.1119025,0.036471779,0.03595278
-5.39995e-05,0.0160153,-0.0382496,0.000634074,-0,0.000433381,-0.0175254,-0.0235604,-0.1199698,0.002151434,-0.000454057,0.000433381,2.915946e-09,0.00025648983,0.0014630319,4.0204984e-07,0,1.8781909e-07,0.00030713963,0.00055509245,0.014392753,4.6286683e-06,2.0616776e-07,1.8781909e-07,-0.099807693,-0.05995533,0.0742016,0.07293782,0.094428899
-5.39995e-05,-0.0427844,-0.0262301,-0.000140527,-0,0.000433381,0,-0.0587997,0.0120195,-0.000774601,0,0,2.915946e-09,0.0018305049,0.00068801815,1.9747838e-08,0,1.8781909e-07,0,0.0034574047,0.00014446838,6.0000671e-07,0,0,0.023857525,-0.091262584,-0.11044938,0.001421711,0.092442614
1.68857e-05,-0.0820809,-0.154165,0.000421032,0.000261012,0.00018066,7.08852e-05,-0.0392965,-0.1279349,0.000561559,0.000261012,-0.000252721,2.8512686e-10,0.0067372741,0.023766847,1.7726795e-07,6.8127264e-08,3.2638036e-08,5.0247116e-09,0.0015442149,0.016367339,3.1534851e-07,6.8127264e-08,6.3867904e-08,-0.03420346,-0.0075591767,-0.13203806,-0.039828526,-0.0052370998
-1.00531e-05,0.0421342,-0.106299,0.000882831,-0,0.000102943,-2.69388e-05,0.1242151,0.047866,0.000461799,-0.000261012,-7.7717e-05,1.0106482e-10,0.0017752908,0.011299477,7.7939057e-07,0,1.0597261e-08,7.2569895e-10,0.015429391,0.002291154,2.1325832e-07,6.8127264e-08,6.0399321e-09,0.039896077,0.013411733,-0.053524391,-0.034551606,-0.08059751
-0.0325937,0.0183376,-0.0704614,0.000798688,0.000520739,-0.000441977,-0.032583647,-0.0237966,0.0358376,-8.4143e-05,0.000520739,-0.00054492,0.0010623493,0.00033626757,0.0049648089,6.3790252e-07,2.7116911e-07,1.9534367e-07,0.001061694,0.00056627817,0.0012843336,7.0800444e-09,2.7116911e-07,2.9693781e-07,-0.019480968,-0.088677009,-0.089073418,-0.044847685,-0.035975952
-0.0039311,0.0801275,-0.0798459,0.00160618,-3.43153e-05,-0.000419508,0.0286626,0.0617899,-0.0093845,0.000807492,-0.0005550543,2.2469e-05,1.5453547e-05,0.0064204163,0.0063753677,2.5798142e-06,1.1775398e-09,1.7598696e-07,0.00082154464,0.0038179917,8.806884e-05,6.5204333e-07,3.0808528e-07,5.0485596e-10,0.078739596,0.082283199,0.072399049,-0.024550626,-0.19746706
